mt002,,
2014/12/30,,
,,
時刻,活動強度,運動種別
0:36:30,1,生活活動
0:36:40,1.1,生活活動
0:36:50,1.3,生活活動
0:37:00,1.4,生活活動
0:37:10,1.1,生活活動
0:37:20,1.1,生活活動
0:37:30,1,生活活動
0:37:40,1.2,生活活動
0:37:50,1,生活活動
0:38:00,1.2,生活活動
0:38:10,1.3,生活活動
0:38:20,1.3,生活活動
0:38:30,1.6,生活活動
0:38:40,1.2,生活活動
0:38:50,1.8,生活活動
0:39:00,1.1,生活活動
0:39:10,1.3,生活活動
0:39:20,1.2,生活活動
0:39:30,1.3,生活活動
0:39:40,1.2,生活活動
0:39:50,1.2,生活活動
0:40:00,1.2,生活活動
0:40:10,1.3,生活活動
0:40:20,1.3,生活活動
0:40:30,1,生活活動
0:40:40,1,生活活動
0:40:50,1.2,生活活動
0:41:00,1.5,生活活動
0:41:10,1.6,生活活動
0:41:20,1.4,生活活動
0:41:30,1.8,生活活動
0:41:40,1.1,生活活動
0:41:50,1.2,生活活動
0:42:00,1,生活活動
0:42:10,1,生活活動
0:42:20,1,生活活動
0:42:30,1,生活活動
0:42:40,1,生活活動
0:42:50,1,生活活動
0:43:00,1,生活活動
0:43:10,1.3,生活活動
0:43:20,1,生活活動
0:43:30,1.8,生活活動
0:43:40,3,生活活動
0:43:50,2.1,生活活動
0:44:00,1.4,生活活動
0:44:10,2,生活活動
0:44:20,1.5,生活活動
0:44:30,1.3,生活活動
0:44:40,1.3,生活活動
0:44:50,1.3,生活活動
0:45:00,1.4,生活活動
0:45:10,1.4,生活活動
0:45:20,1.3,生活活動
0:45:30,1.2,生活活動
0:45:40,1.3,生活活動
0:45:50,1.6,生活活動
0:46:00,1.8,生活活動
0:46:10,1.5,生活活動
0:46:20,1.8,生活活動
0:46:30,2.8,生活活動
0:46:40,1.4,生活活動
0:46:50,2,生活活動
0:47:00,2,生活活動
0:47:10,3.1,生活活動
0:47:20,1.5,生活活動
0:47:30,2,生活活動
0:47:40,1.5,生活活動
0:47:50,1.7,生活活動
0:48:00,1.3,生活活動
0:48:10,1.8,生活活動
0:48:20,3.2,生活活動
0:48:30,1.3,生活活動
0:48:40,1.4,生活活動
0:48:50,1.2,生活活動
0:49:00,1.5,生活活動
0:49:10,1.3,生活活動
0:49:20,1.1,生活活動
0:49:30,1.4,生活活動
0:49:40,1.7,生活活動
0:49:50,1.4,生活活動
0:50:00,1.5,生活活動
0:50:10,1.3,生活活動
0:50:20,1.2,生活活動
0:50:30,1.2,生活活動
0:50:40,1.4,生活活動
0:50:50,1.8,生活活動
0:51:00,1,生活活動
0:51:10,1.1,生活活動
0:51:20,1.4,生活活動
0:51:30,1.7,生活活動
0:51:40,2.4,生活活動
0:51:50,2.1,生活活動
0:52:00,1.2,生活活動
0:52:10,1.5,生活活動
0:52:20,1.7,生活活動
0:52:30,1.5,生活活動
0:52:40,2,生活活動
0:52:50,1.1,生活活動
0:53:00,1.4,生活活動
0:53:10,1.4,生活活動
0:53:20,1.2,生活活動
0:53:30,1.1,生活活動
0:53:40,1.4,生活活動
0:53:50,1.4,生活活動
0:54:00,1.4,生活活動
0:54:10,1.3,生活活動
0:54:20,1.2,生活活動
0:54:30,1.2,生活活動
0:54:40,1,生活活動
0:54:50,1,生活活動
0:55:00,1.1,生活活動
0:55:10,1.1,生活活動
0:55:20,1,生活活動
0:55:30,1,生活活動
0:55:40,1,生活活動
0:55:50,1.3,生活活動
0:56:00,1.3,生活活動
0:56:10,1.2,生活活動
0:56:20,1.2,生活活動
0:56:30,1,生活活動
0:56:40,1,生活活動
0:56:50,1.1,生活活動
0:57:00,1.6,生活活動
0:57:10,1.2,生活活動
0:57:20,1.3,生活活動
0:57:30,1.2,生活活動
0:57:40,1.1,生活活動
0:57:50,1.1,生活活動
0:58:00,1.3,生活活動
0:58:10,1.4,生活活動
0:58:20,1.4,生活活動
0:58:30,2.2,生活活動
0:58:40,3.5,生活活動
0:58:50,1.8,生活活動
0:59:00,1.4,生活活動
0:59:10,1.5,生活活動
0:59:20,1,生活活動
0:59:30,1.2,生活活動
0:59:40,1.2,生活活動
0:59:50,1.3,生活活動
1:00:00,1.1,生活活動
1:00:10,1.1,生活活動
1:00:20,3.8,生活活動
1:00:30,4.1,生活活動
1:00:40,2.5,歩行
1:00:50,4.3,生活活動
1:01:00,3.7,生活活動
1:01:10,1.6,生活活動
1:01:20,2.1,生活活動
1:01:30,1.5,生活活動
1:01:40,1.5,生活活動
1:01:50,1.3,生活活動
1:02:00,1.5,生活活動
1:02:10,1.4,生活活動
1:02:20,1.4,生活活動
1:02:30,1.6,生活活動
1:02:40,1.1,生活活動
1:02:50,1,生活活動
1:03:00,1,生活活動
1:03:10,1.2,生活活動
1:03:20,3.2,生活活動
1:03:30,3.1,生活活動
1:03:40,1.4,生活活動
1:03:50,1.6,生活活動
1:04:00,1.5,生活活動
1:04:10,1.2,生活活動
1:04:20,1.1,生活活動
1:04:30,1,生活活動
1:04:40,1.3,生活活動
1:04:50,1.2,生活活動
1:05:00,1.6,生活活動
1:05:10,1.1,生活活動
1:05:20,0,計測なし
1:05:30,0,計測なし
1:05:40,0,計測なし
1:05:50,0,計測なし
1:06:00,1,生活活動
1:06:10,1.1,生活活動
1:06:20,1.3,生活活動
1:06:30,1.9,歩行
1:06:40,2.6,生活活動
1:06:50,1,生活活動
1:07:00,1,生活活動
1:07:10,0,計測なし
1:07:20,0,計測なし
1:07:30,0,計測なし
1:07:40,0,計測なし
1:07:50,1,生活活動
1:08:00,1,生活活動
1:08:10,0,計測なし
1:08:20,0,計測なし
1:08:30,0,計測なし
1:08:40,0,計測なし
1:08:50,0,計測なし
1:09:00,0,計測なし
1:09:10,0,計測なし
1:09:20,0,計測なし
1:09:30,0,計測なし
1:09:40,0,計測なし
1:09:50,0,計測なし
1:10:00,0,計測なし
1:10:10,0,計測なし
1:10:20,0,計測なし
1:10:30,0,計測なし
